user_id,cls_id,vod_cnt,pdf_cnt,status
21738,2025-20-506820-1-01,0,0,Success
43808,2025-20-655025-1-01,0,0,Success
43445,2025-20-904881-2-01,0,0,Success
45737,2025-20-107498-2-01,0,0,Success
21925,2025-20-904500-1-01,0,0,Success
21925,2025-20-904500-1-02,0,0,Success
21925,2025-20-903074-1-01,0,0,Success
43409,2025-20-729005-2-01,0,0,Success
89694,2025-20-903103-1-01,0,0,Success
45379,2025-20-701007-2-01,0,0,Success
45740,2025-20-209111-2-01,0,0,Success
35033,2025-20-633004-1-01,0,0,Success
22502,2025-20-509338-2-01,0,0,Success
22502,2025-20-509504-1-01,0,0,Success
22257,2025-20-903052-3-08,0,0,Success
21447,2025-20-209670-1-01,0,0,Success
21447,2025-20-209670-1-02,0,0,Success
95335,2025-20-806564-2-02,0,0,Success
22502,2025-20-006175-2-54,0,0,Success
43819,2025-20-006175-2-45,0,0,Success
21925,2025-20-715013-2-01,0,0,Success
45304,2025-20-007016-1-01,0,0,Success
45379,2025-20-712033-1-01,0,0,Success
43808,2025-20-006175-2-43,0,0,Success
21738,2025-20-003039-2-03,0,0,Success
21738,2025-20-003039-2-04,0,0,Success
89464,2025-20-509213-3-01,0,0,Success
95335,2025-20-805559-2-01,0,0,Success
20994,2025-20-506808-1-02,0,0,Success
89694,2025-20-002033-1-02,0,0,Success
20367,2025-20-G91173-2-01,0,0,Success
22492,2025-20-G91178-1-01,0,0,Success
43409,2025-20-G91241-2-01,0,0,Success
43445,2025-20-G91292-1-01,0,0,Success
20367,2025-20-G91443-1-01,0,0,Success
43819,2025-20-G90809-1-01,0,0,Success
36379,2025-20-G90927-1-01,0,0,Success
35033,2025-20-G90930-1-01,0,0,Success
43445,2025-20-G90978-1-01,0,0,Success
22502,2025-20-G91060-1-01,0,0,Success
95335,2025-20-G90250-1-02,0,0,Success
95335,2025-20-G90299-1-01,0,0,Success
36014,2025-20-G90674-2-01,0,0,Success
21688,2025-20-G03568-2-01,0,0,Success
22502,2025-20-G03607-1-01,0,0,Success
95335,2025-20-G00102-1-17,0,0,Success
21735,2025-20-G01935-1-01,0,0,Success
44667,2025-20-104405-1-01,0,0,Success
43298,2025-20-209707-2-01,0,0,Success
43298,2025-20-209662-1-01,0,0,Success
20369,2025-20-209710-2-01,0,0,Success
21738,2025-20-506808-1-01,0,0,Success
45755,2025-20-209680-3-01,0,0,Success
21743,2025-20-004072-3-01,0,0,Success
21743,2025-20-640070-2-01,0,0,Success
89464,2025-20-509515-1-01,0,0,Success
44494,2025-20-509517-2-01,0,0,Success
89464,2025-20-509509-3-01,0,0,Success
43445,2025-20-903164-1-01,0,0,Success
22257,2025-20-640074-1-02,0,0,Success
43817,2025-20-680107-1-01,0,0,Success
35033,2025-20-633001-1-01,0,0,Success
45755,2025-20-209737-1-01,0,0,Success
21743,2025-20-004071-3-01,0,0,Success
89464,2025-20-007017-1-01,0,0,Success
22502,2025-20-509518-2-01,0,0,Success
22502,2025-20-509518-2-02,0,0,Success
22502,2025-20-509311-1-01,0,0,Success
43819,2025-20-513025-2-01,0,0,Success
43819,2025-20-860004-2-01,0,0,Success
35033,2025-20-006183-1-04,0,0,Success
36014,2025-20-685025-2-01,0,0,Success
22257,2025-20-903129-2-01,0,0,Success
43818,2025-20-205422-1-01,0,0,Success
45304,2025-20-007015-1-01,0,0,Success
46445,2025-20-507520-1-01,0,0,Success
prof7,2025-10-8d47ac-0-00,0,0,Success
minyoung,2025-10-5c5fe8-0-00,0,0,Success
45932,2025-10-952b39-0-00,0,0,Success
testprof,2025-10-59ef06-0-00,0,0,Success
45740,2024-20-209111-2-01,0,0,Success
45932,2024-20-903102-2-01,0,0,Success
45932,2024-20-903102-2-02,0,0,Success
21743,2024-20-903084-2-02,0,0,Success
